index,neg,neu,pos,compound
0,0.0,1.0,0.0,0.0
1,0.075,0.861,0.064,0.1321
2,0.095,0.836,0.069,-0.1779
3,0.0,0.858,0.142,0.5106
4,0.111,0.694,0.194,0.34
5,0.431,0.294,0.275,-0.3818
6,0.235,0.702,0.063,-0.8353
7,0.176,0.824,0.0,-0.7184
8,0.096,0.882,0.022,-0.6908
9,0.199,0.757,0.044,-0.7776
10,0.119,0.852,0.029,-0.6486
11,0.385,0.615,0.0,-0.3612
12,0.0,1.0,0.0,0.0
13,0.415,0.585,0.0,-0.8494
14,0.208,0.568,0.224,0.0664
15,0.111,0.625,0.264,0.8698
16,0.0,0.469,0.531,0.9093
17,0.286,0.564,0.15,-0.8481
18,0.176,0.629,0.195,0.2615
19,0.0,0.868,0.132,0.4404
20,0.045,0.955,0.0,-0.296
21,0.334,0.611,0.055,-0.9519
22,0.0,0.694,0.306,0.9577
23,0.405,0.425,0.17,-0.5803
24,0.09,0.709,0.2,0.7334
25,0.382,0.529,0.089,-0.9594
26,0.412,0.588,0.0,-0.7906
27,0.0,0.886,0.114,0.5423
28,0.282,0.718,0.0,-0.6249
29,0.207,0.709,0.084,-0.6908
30,0.031,0.664,0.305,0.9245
31,0.185,0.791,0.024,-0.8885
32,0.158,0.842,0.0,-0.7204
33,0.0,1.0,0.0,0.0
34,0.136,0.714,0.15,-0.1506
35,0.104,0.896,0.0,-0.5423
36,0.408,0.592,0.0,-0.7351
37,0.148,0.694,0.158,-0.128
38,0.043,0.564,0.393,0.98
39,0.106,0.894,0.0,-0.3612
40,0.342,0.528,0.129,-0.9313
41,0.0,0.693,0.307,0.9493
42,0.107,0.699,0.194,0.5565
43,0.107,0.854,0.039,-0.5327
44,0.08,0.92,0.0,-0.5423
45,0.0,0.844,0.156,0.8074
46,0.0,0.839,0.161,0.8425
47,0.348,0.619,0.033,-0.9654
48,0.047,0.611,0.342,0.7765
49,0.081,0.796,0.123,0.2144
50,0.0,1.0,0.0,0.0
